GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,HOME_TEAM_WINS
2021-04-23,22000902,1610612760,1610612764,2020,0
2021-04-23,22000225,1610612757,1610612763,2020,0
2021-04-23,22000903,1610612744,1610612743,2020,1
2021-04-22,22000892,1610612738,1610612756,2020,1
2021-04-22,22000893,1610612753,1610612740,2020,0
2021-04-22,22000894,1610612749,1610612755,2020,1
2021-04-22,22000895,1610612759,1610612765,2020,1
2021-04-22,22000896,1610612741,1610612766,2020,1
2021-04-22,22000897,1610612742,1610612747,2020,1
2021-04-21,22000881,1610612739,1610612741,2020,1
2021-04-21,22000882,1610612754,1610612760,2020,1
2021-04-21,22000883,1610612755,1610612756,2020,0
2021-04-21,22000884,1610612761,1610612751,2020,1
2021-04-21,22000885,1610612764,1610612744,2020,1
2021-04-21,22000886,1610612752,1610612737,2020,1
2021-04-21,22000887,1610612745,1610612762,2020,0
2021-04-21,22000442,1610612742,1610612765,2020,1
2021-04-21,22000888,1610612759,1610612748,2020,0
2021-04-21,22000889,1610612746,1610612763,2020,1
2021-04-21,22000890,1610612757,1610612743,2020,0
2021-04-21,22000891,1610612758,1610612750,2020,1
2021-04-20,22000876,1610612737,1610612753,2020,1
2021-04-20,22000877,1610612752,1610612766,2020,1
2021-04-20,22000878,1610612740,1610612751,2020,0
2021-04-20,22000879,1610612757,1610612746,2020,0
2021-04-20,22000880,1610612758,1610612750,2020,0
2021-04-19,22000868,1610612765,1610612739,2020,1
2021-04-19,22000869,1610612738,1610612741,2020,0
2021-04-19,22000870,1610612755,1610612744,2020,0
2021-04-19,22000473,1610612754,1610612759,2020,0
2021-04-19,22000871,1610612748,1610612745,2020,1
2021-04-19,22000872,1610612764,1610612760,2020,1
2021-04-19,22000873,1610612749,1610612756,2020,0
2021-04-19,22000874,1610612743,1610612763,2020,1
2021-04-19,22000875,1610612747,1610612762,2020,0
2021-04-18,22000861,1610612737,1610612754,2020,1
2021-04-18,22000862,1610612752,1610612740,2020,1
2021-04-18,22000863,1610612748,1610612751,2020,1
2021-04-18,22000362,1610612766,1610612757,2020,1
2021-04-18,22000864,1610612753,1610612745,2020,0
2021-04-18,22000865,1610612761,1610612760,2020,1
2021-04-18,22000866,1610612742,1610612758,2020,0
2021-04-18,22000867,1610612746,1610612750,2020,1
2021-04-17,22000855,1610612747,1610612762,2020,1
2021-04-17,22000856,1610612764,1610612765,2020,1
2021-04-17,22000857,1610612741,1610612739,2020,1
2021-04-17,22000858,1610612738,1610612744,2020,1
2021-04-17,22000859,1610612749,1610612763,2020,0
2021-04-17,22000860,1610612756,1610612759,2020,0
2021-04-16,22000844,1610612762,1610612754,2020,1
2021-04-16,22000845,1610612765,1610612760,2020,1
2021-04-16,22000846,1610612755,1610612746,2020,1
2021-04-16,22000847,1610612764,1610612740,2020,1
2021-04-16,22000848,1610612751,1610612766,2020,1
2021-04-16,22000849,1610612761,1610612753,2020,1
2021-04-16,22000850,1610612741,1610612763,2020,0
2021-04-16,22000851,1610612745,1610612743,2020,0
2021-04-16,22000852,1610612750,1610612748,2020,1
2021-04-16,22000853,1610612759,1610612757,2020,0
2021-04-16,22000854,1610612742,1610612752,2020,0
2021-04-15,22000840,1610612737,1610612749,2020,0
2021-04-15,22000841,1610612739,1610612744,2020,0
2021-04-15,22000842,1610612747,1610612738,2020,0
2021-04-15,22000843,1610612756,1610612758,2020,1
2021-04-14,22000834,1610612750,1610612749,2020,0
2021-04-14,22000829,1610612766,1610612739,2020,0
2021-04-14,22000830,1610612755,1610612751,2020,1
2021-04-14,22000831,1610612761,1610612759,2020,1
2021-04-14,22000832,1610612765,1610612746,2020,0
2021-04-14,22000833,1610612741,1610612753,2020,0
2021-04-14,22000835,1610612740,1610612752,2020,0
2021-04-14,22000461,1610612745,1610612754,2020,0
2021-04-14,22000836,1610612760,1610612744,2020,0
2021-04-14,22000837,1610612763,1610612742,2020,0
2021-04-14,22000838,1610612743,1610612748,2020,1
2021-04-14,22000839,1610612758,1610612764,2020,0
2021-04-13,22000817,1610612750,1610612751,2020,0
2021-04-13,22000823,1610612754,1610612746,2020,0
2021-04-13,22000824,1610612761,1610612737,2020,0
2021-04-13,22000825,1610612766,1610612747,2020,0
2021-04-13,22000826,1610612762,1610612760,2020,1
2021-04-13,22000827,1610612756,1610612748,2020,1
2021-04-13,22000828,1610612757,1610612738,2020,0
2021-04-12,22000815,1610612752,1610612747,2020,1
2021-04-12,22000818,1610612742,1610612755,2020,0
2021-04-12,22000816,1610612753,1610612759,2020,0
2021-04-12,22000278,1610612763,1610612741,2020,1
2021-04-12,22000819,1610612740,1610612758,2020,1
2021-04-12,22000820,1610612762,1610612764,2020,0
2021-04-12,22000821,1610612744,1610612743,2020,1
2021-04-12,22000822,1610612756,1610612745,2020,1
2021-04-11,22000805,1610612766,1610612737,2020,0
2021-04-11,22000806,1610612743,1610612738,2020,0
2021-04-11,22000807,1610612739,1610612740,2020,0
2021-04-11,22000808,1610612753,1610612749,2020,0
2021-04-11,22000809,1610612752,1610612761,2020,1
2021-04-11,22000810,1610612742,1610612759,2020,0
2021-04-11,22000811,1610612763,1610612754,2020,0
2021-04-11,22000812,1610612750,1610612741,2020,1
2021-04-11,22000813,1610612746,1610612765,2020,1
2021-04-11,22000814,1610612757,1610612748,2020,0
2021-04-10,22000794,1610612739,1610612761,2020,0
2021-04-10,22000800,1610612751,1610612747,2020,0
2021-04-10,22000199,1610612760,1610612755,2020,0
2021-04-10,22000801,1610612762,1610612758,2020,1
2021-04-10,22000802,1610612744,1610612745,2020,1
2021-04-10,22000803,1610612756,1610612764,2020,1
2021-04-10,22000804,1610612757,1610612765,2020,1
2021-04-09,22000790,1610612753,1610612754,2020,0
2021-04-09,22000792,1610612738,1610612750,2020,1
2021-04-09,22000793,1610612752,1610612763,2020,1
2021-04-09,22000791,1610612737,1610612741,2020,1
2021-04-09,22000795,1610612740,1610612755,2020,1
2021-04-09,22000796,1610612749,1610612766,2020,0
2021-04-09,22000797,1610612743,1610612759,2020,1
2021-04-09,22000798,1610612744,1610612764,2020,0
2021-04-09,22000799,1610612746,1610612745,2020,1
2021-04-08,22000523,1610612761,1610612741,2020,0
2021-04-08,22000784,1610612748,1610612747,2020,1
2021-04-08,22000785,1610612760,1610612739,2020,0
2021-04-08,22000786,1610612742,1610612749,2020,1
2021-04-08,22000787,1610612762,1610612757,2020,1
2021-04-08,22000788,1610612746,1610612756,2020,1
2021-04-08,22000789,1610612758,1610612765,2020,0
2021-04-07,22000776,1610612754,1610612750,2020,1
2021-04-07,22000777,1610612753,1610612764,2020,0
2021-04-07,22000778,1610612738,1610612752,2020,1
2021-04-07,22000779,1610612751,1610612740,2020,1
2021-04-07,22000456,1610612745,1610612742,2020,1
2021-04-07,22000780,1610612737,1610612763,2020,0
2021-04-07,22000781,1610612760,1610612766,2020,0
2021-04-07,22000782,1610612743,1610612759,2020,1
2021-04-07,22000783,1610612756,1610612762,2020,1
2021-04-06,22000769,1610612754,1610612741,2020,0
2021-04-06,22000770,1610612737,1610612740,2020,1
2021-04-06,22000771,1610612738,1610612755,2020,0
2021-04-06,22000772,1610612761,1610612747,2020,0
2021-04-06,22000773,1610612748,1610612763,2020,0
2021-04-06,22000321,1610612743,1610612765,2020,1
2021-04-06,22000774,1610612744,1610612749,2020,1
2021-04-06,22000775,1610612746,1610612757,2020,1
2021-04-05,22000762,1610612751,1610612752,2020,1
2021-04-05,22000763,1610612761,1610612764,2020,1
2021-04-05,22000764,1610612742,1610612762,2020,1
2021-04-05,22000765,1610612750,1610612758,2020,1
2021-04-05,22000766,1610612760,1610612765,2020,0
2021-04-05,22000767,1610612759,1610612739,2020,0
2021-04-05,22000768,1610612745,1610612756,2020,0
2021-04-04,22000755,1610612741,1610612751,2020,1
